,N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,1.0,삼성전자,83300.0,1200.0,-1.42%,100.0,4972829.0,5969783.0,55.73,16115606.0,39.09,4.15,
2,2.0,SK하이닉스,183400.0,2200.0,+1.21%,5000.0,1335156.0,728002.0,54.72,2031809.0,-14.65,-15.61,
3,3.0,LG에너지솔루션,376500.0,3500.0,+0.94%,500.0,881010.0,234000.0,4.89,143198.0,71.21,6.36,
4,4.0,삼성바이오로직스,806000.0,9000.0,-1.10%,2500.0,573662.0,71174.0,12.0,30234.0,66.88,9.12,
5,5.0,삼성전자우,68400.0,700.0,-1.01%,100.0,562854.0,822887.0,75.53,825252.0,32.1,,
9,6.0,현대차,230000.0,2500.0,-1.08%,5000.0,486522.0,211532.0,38.41,579601.0,5.28,13.68,
10,7.0,기아,108600.0,100.0,+0.09%,5000.0,436620.0,402044.0,40.35,1513400.0,4.99,20.44,
11,8.0,셀트리온,182000.0,6500.0,-3.45%,1000.0,396851.0,218050.0,23.41,683671.0,50.01,5.07,
12,9.0,POSCO홀딩스,403000.0,0.0,0.00%,5000.0,340822.0,84571.0,27.26,324928.0,20.07,3.18,
13,10.0,NAVER,189000.0,900.0,-0.47%,100.0,306952.0,162409.0,45.64,382152.0,30.58,4.41,
17,11.0,삼성SDI,412000.0,8000.0,-1.90%,5000.0,283310.0,68765.0,42.21,267025.0,14.43,11.48,
18,12.0,KB금융,69300.0,0.0,0.00%,5000.0,279633.0,403511.0,75.53,573446.0,6.06,8.44,
19,13.0,LG화학,394500.0,500.0,+0.13%,5000.0,278487.0,70592.0,39.35,212469.0,23.08,4.2,
20,14.0,삼성물산,149600.0,1600.0,-1.06%,100.0,277645.0,185592.0,24.75,225812.0,12.65,7.28,
21,15.0,현대모비스,244500.0,1500.0,+0.62%,5000.0,228987.0,93655.0,40.11,104036.0,6.73,8.73,
25,16.0,신한지주,43600.0,800.0,-1.80%,5000.0,222095.0,509393.0,61.28,1019656.0,5.19,8.36,
26,17.0,카카오,49200.0,50.0,+0.10%,100.0,219015.0,445153.0,28.05,689009.0,-21.62,-10.26,
27,18.0,포스코퓨처엠,280500.0,1000.0,-0.36%,500.0,217284.0,77463.0,9.2,346797.0,756.06,1.19,
28,19.0,삼성생명,90200.0,3500.0,-3.74%,500.0,180400.0,200000.0,19.52,277060.0,9.52,4.95,
29,20.0,하나금융지주,58200.0,1000.0,-1.69%,5000.0,170152.0,292357.0,70.56,742425.0,5.01,9.01,
